polygon_id,vertex_index,x,y,kind,area_m2,buffer_m,m_per_px
0,115,17.1492,2.2963,outer,888.31,0.5,0.04355
0,116,16.9144,2.2106,outer,888.31,0.5,0.04355
0,117,16.6944,2.1302,outer,888.31,0.5,0.04355
0,118,16.489,2.0552,outer,888.31,0.5,0.04355
0,119,16.2983,1.9855,outer,888.31,0.5,0.04355
0,120,16.1222,1.9212,outer,888.31,0.5,0.04355
0,121,15.9608,1.8623,outer,888.31,0.5,0.04355
0,122,15.8141,1.8087,outer,888.31,0.5,0.04355
0,123,15.6821,1.7605,outer,888.31,0.5,0.04355
0,124,15.5647,1.7176,outer,888.31,0.5,0.04355
0,125,15.462,1.6801,outer,888.31,0.5,0.04355
0,126,15.374,1.648,outer,888.31,0.5,0.04355
0,127,15.3006,1.6212,outer,888.31,0.5,0.04355
0,128,15.2419,1.5997,outer,888.31,0.5,0.04355
0,129,15.1979,1.5837,outer,888.31,0.5,0.04355
0,130,15.1686,1.573,outer,888.31,0.5,0.04355
0,131,15.1539,1.5676,outer,888.31,0.5,0.04355
0,132,-15.0502,-9.0018,outer,888.31,0.5,0.04355
0,133,-16.6614,-6.9986,outer,888.31,0.5,0.04355
0,134,13.5427,3.5708,outer,888.31,0.5,0.04355
0,135,23.4276,6.8802,outer,888.31,0.5,0.04355
0,136,27.5209,9.1011,outer,888.31,0.5,0.04355
0,137,25.213,9.972,outer,888.31,0.5,0.04355
0,138,23.5583,16.3297,outer,888.31,0.5,0.04355
0,139,22.2519,16.2426,outer,888.31,0.5,0.04355
0,140,21.6858,16.8958,outer,888.31,0.5,0.04355
0,141,23.1228,18.0715,outer,888.31,0.5,0.04355
0,142,21.5987,23.0793,outer,888.31,0.5,0.04355
0,143,18.7247,23.8195,outer,888.31,0.5,0.04355
0,144,15.8507,23.5583,outer,888.31,0.5,0.04355
0,145,0.0,18.6811,outer,888.31,0.5,0.04355
