run_id,id,n_rows,duration_s,speed_p85,path_m,too_short,stationary,keep
1,18340,51,5.0,2.2122696151020596,9.306190081205635,True,False,False
1,18341,24,2.2999999999999545,1.499842482613267,3.270810984469237,True,True,False
1,18342,10,0.8999999999999773,0.6846769930626078,0.6158390191453057,True,True,False
1,18343,58,5.7000000000000455,2.541294527511059,13.061082223336747,True,False,False
1,18344,27,2.6000000000000227,1.8571498502625812,4.236607294913247,True,True,False
1,18345,10,0.8999999999999773,0.9857733611111393,0.8873770774913545,True,True,False
1,18346,7,0.6000000000000227,1.4053751806789503,0.7550698492036017,True,True,False
1,18347,48,4.7000000000000455,2.3046844001475884,9.809280453309366,True,False,False
1,18348,32,3.1000000000000227,1.3811299007467597,3.6121643586064063,True,True,False
1,18349,11,1.0,0.6535002406864694,0.6536561929435267,True,True,False
1,18350,2,0.10000000000002274,0.0852726176984783,0.008561894977272218,True,True,False
1,18351,7,0.6000000000000227,0.31945869198570476,0.1914130443380452,True,True,False
1,18352,80,8.0,1.9460264275530956,15.004020548475433,True,False,False
1,18353,1,0.0,0.1155349167887775,0.0,True,True,False
1,18354,65,6.400000000000091,2.362723988609016,14.70888904309157,True,False,False
1,18355,31,3.0,1.8398312512524868,4.519797737714513,True,True,False
1,18356,36,3.5,2.1540326931030194,6.402127940698214,True,True,False
1,18357,68,6.7000000000000455,1.9604011663652576,12.609730943064923,True,False,False
1,18358,78,7.7000000000000455,1.8136077037534097,13.537740033894755,True,False,False
1,18359,78,7.699999999999932,1.802067805686074,13.542579365595596,True,False,False
1,18360,1,0.0,0.0599782799587665,0.0,True,True,False
1,18361,46,4.5,1.7770963806570441,6.53359954916205,True,True,False
1,18362,71,7.0,2.0173066790841814,13.569536067245561,True,False,False
1,18363,3,0.20000000000004547,0.24853640155246337,0.04969747002950542,True,True,False
1,18364,45,4.399999999999977,2.033905376382422,7.918982273413731,True,True,False
1,18365,11,1.0,0.6928074886354358,0.6920989877315291,True,True,False
1,18366,61,6.0,2.009595377967725,10.855499933591856,True,False,False
1,18367,27,2.699999999999932,4.81661704965757,11.349767748184808,True,False,False
1,18368,18,1.7000000000000455,1.3832819231076874,2.343133620700867,True,True,False
1,18369,29,2.7999999999999545,1.949207099667202,4.544889599474943,True,True,False
1,18370,1,0.0,0.0183793316006719,0.0,True,True,False
1,18371,13,1.1999999999999318,0.9386156664170977,1.1262868545393634,True,True,False
1,18372,22,2.1000000000000227,2.141498163310483,3.691143808328237,True,True,False
1,18373,24,2.300000000000068,1.5128686178822768,3.274440940464337,True,True,False
1,18374,162,16.299999999999955,1.9986805586943415,31.390100079746247,False,False,True
1,18375,47,4.600000000000023,2.240586248048793,9.170647576884473,True,False,False
1,18376,15,1.400000000000091,0.9675402924881966,1.3535877860218237,True,True,False
1,18377,158,15.700000000000045,1.981763263685411,29.31075292870986,False,False,True
1,18378,59,6.0,1.5046924703987057,8.374254547455829,True,False,False
1,18379,27,2.6000000000000227,2.267608880768196,4.9446336576541245,True,True,False
1,18380,26,2.5,2.035017208607951,4.184736725139889,True,True,False
1,18381,654,65.29999999999995,0.043573418317299335,2.093007826392699,False,True,False
1,18382,35,3.400000000000091,2.2162537866090415,6.429161397054606,True,True,False
1,18383,19,1.7999999999999545,1.4064407944018813,2.5199383589906383,True,True,False
1,18384,3,0.1999999999999318,1.0169341307236153,0.20338682614459608,True,True,False
1,18385,3,0.20000000000004547,0.17696856482389137,0.03525250186733296,True,True,False
1,18386,1,0.0,1.491609676590743,0.0,True,True,False
1,18387,4,0.2999999999999545,0.1933052758174423,0.05799158274505425,True,True,False
1,18388,76,7.5,1.9906956314055062,14.538863975803242,True,False,False
1,18389,5,0.40000000000009095,1.0555839006560925,0.4218444260224019,True,True,False
1,18390,14,1.2999999999999545,2.178984369975844,2.5082316913577563,True,True,False
1,18391,28,2.7000000000000455,1.9227539003261682,4.401762616670484,True,True,False
1,18392,27,2.6000000000001364,1.9999607777963297,4.291716148048164,True,True,False
1,18393,81,8.0,1.737512136296958,13.348193157733839,True,False,False
1,18394,12,1.1000000000001364,0.7517851457799228,0.8258502857106188,True,True,False
1,18395,173,17.200000000000045,1.9844614218854124,31.491163023557164,False,False,True
1,18396,33,3.199999999999818,1.943462159845241,5.288700245914315,True,True,False
1,18397,43,4.2000000000000455,1.799018460730198,5.932696761137093,True,True,False
1,18398,39,3.7999999999999545,2.140224427357059,7.008606046088923,True,True,False
1,18399,55,5.400000000000091,1.7414686994686972,8.23529006792035,True,False,False
1,18400,12,1.1000000000001364,1.4872954920524695,1.4565324442961556,True,True,False
1,18401,1,0.0,0.0403707458239765,0.0,True,True,False
1,18402,1,0.0,0.0083456245727349,0.0,True,True,False
1,18403,57,5.599999999999909,1.5732975445339412,7.642522134513543,True,True,False
1,18404,82,8.100000000000136,1.6725666637018917,11.724896577882507,True,False,False
1,18405,47,4.600000000000136,1.6292215433869253,6.098324805879671,True,True,False
1,18406,73,7.2000000000000455,1.5660591719803743,10.036229787215074,True,False,False
1,18407,87,8.599999999999909,1.9441811591448837,14.963048518306802,True,False,False
1,18408,39,3.7999999999999545,1.659585437248468,4.971826275826461,True,True,False
1,18409,35,3.400000000000091,1.7173714400260622,5.026054619698657,True,True,False
1,18410,33,3.2000000000000455,2.3623256094931473,6.4985978589538025,True,True,False
1,18411,41,4.0,1.823026185980716,6.1260502225368185,True,True,False
1,18412,7,0.599999999999909,0.8623094125090722,0.5172112079930782,True,True,False
1,18413,24,2.2999999999999545,1.1598527471198319,2.574918668784987,True,True,False
1,18414,5,0.40000000000009095,1.426380204545992,0.5512099324790762,True,True,False
1,18415,10,0.900000000000091,0.45010700807318077,0.40509630726539037,True,True,False
1,18416,6,0.5,1.2516924142674393,0.5752873541750133,True,True,False
1,18417,8,0.7000000000000455,0.301148714423075,0.21044504152836568,True,True,False
1,18418,79,7.7999999999999545,2.1271233133503706,15.076308150650636,True,False,False
1,18419,36,3.6000000000001364,2.566573843015549,7.903970031620976,True,True,False
1,18420,27,2.6000000000001364,1.5507013477774814,3.471610995553263,True,True,False
1,18421,24,2.2999999999999545,1.5709587225676171,3.128998547064263,True,True,False
1,18422,43,4.199999999999818,1.8966169371423558,6.99099156346851,True,True,False
1,18423,71,7.0,1.9501774384922457,13.313073165148248,True,False,False
1,18424,38,3.7000000000000455,1.7181965962680092,5.087157470236594,True,True,False
1,18425,48,4.7000000000000455,1.6042282812974527,6.959731718020581,True,True,False
1,18426,33,3.199999999999818,2.03105487269191,5.4200997812492755,True,True,False
1,18427,17,1.6000000000001364,1.483705088590026,1.96780660604886,True,True,False
1,18428,57,5.599999999999909,2.11571331385034,10.530811858019312,True,False,False
1,18429,63,6.2000000000000455,1.8373783746461958,10.370122174277457,True,False,False
