street_id,street_name,part_index,vertex_index,x,y
1,roadway_exterior,0,263,190.74366102064383,190.1382759848977
1,roadway_exterior,0,264,190.7449319040245,190.11310007288304
1,roadway_exterior,0,265,190.74873163300998,190.08818012605377
1,roadway_exterior,0,266,190.75502157550093,190.06376950718007
1,roadway_exterior,0,267,190.7637377812303,190.04011640066062
1,roadway_exterior,0,268,190.7747916319501,190.01746128921528
1,roadway_exterior,0,269,190.7880707424189,189.996034508881
1,roadway_exterior,0,270,190.80344010303034,189.97605390717
1,roadway_exterior,0,271,190.82074345246457,189.95772262819955
1,roadway_exterior,0,272,190.8398048664078,189.94122704731188
1,roadway_exterior,0,273,190.86043054618648,189.92673487618387
1,roadway_exterior,0,274,190.88241078913148,189.914393457691
1,roadway_exterior,0,275,190.90552212063906,189.90432826786255
1,roadway_exterior,0,276,190.9295295662523,189.89664164015832
1,roadway_exterior,0,277,190.95418904066207,189.8914117250375
1,roadway_exterior,0,278,190.97924982933873,189.8886916953978
1,roadway_exterior,0,279,191.00445713756358,189.88850920596292
1,roadway_exterior,0,280,191.02955468094387,189.89086611211516
1,roadway_exterior,0,281,192.2824309762466,190.0726305487394
1,roadway_exterior,0,282,192.28837086218195,190.0731883624462
1,roadway_exterior,0,283,192.28867164470094,190.06722992884892
1,roadway_exterior,0,284,192.28867164470094,185.22145444018605
1,roadway_exterior,0,285,192.28836466750352,185.21539197548466
1,roadway_exterior,0,286,192.28242129201155,185.2141574711229
1,roadway_exterior,0,287,191.19750199281617,185.0455171655485
1,roadway_exterior,0,288,191.1727202120871,185.040368395568
1,roadway_exterior,0,289,191.14858605587435,185.03274022460025
1,roadway_exterior,0,290,191.12534690757673,185.0227108440203
1,roadway_exterior,0,291,191.10324097645432,185.01038305842732
1,roadway_exterior,0,292,191.08249485590142,184.99588323186217
1,roadway_exterior,0,293,191.0633212007865,184.97935999253235
1,roadway_exterior,0,294,191.04591654766674,184.96098270932194
1,roadway_exterior,0,295,191.03045930022054,184.9409397557022
1,roadway_exterior,0,296,191.01710790054867,184.91943657883886
1,roadway_exterior,0,297,191.00599920508816,184.8966935936878
1,roadway_exterior,0,298,190.9972470817868,184.8729439236662
1,roadway_exterior,0,299,190.9909412429176,184.84843101105733
1,roadway_exterior,0,300,190.98714632549692,184.82340612164327
1,roadway_exterior,0,301,190.98590122873316,184.79812576914446
1,roadway_exterior,0,302,191.17163654598238,55.08058020228819
1,roadway_exterior,0,303,191.1728131676065,55.05670896764361
1,roadway_exterior,0,304,191.1762639142539,55.03305917632363
1,roadway_exterior,0,305,191.18195724774097,55.009846976175695
1,roadway_exterior,0,306,191.18984113370672,54.98728451567198
1,roadway_exterior,0,307,191.19984351718222,54.96557800497329
1,roadway_exterior,0,308,191.21187298113844,54.94492583126618
1,roadway_exterior,0,309,191.22581958199478,54.92551674559846
1,roadway_exterior,0,310,191.2415558544508,54.90752813778429
1,roadway_exterior,0,311,191.25893797645878,54.89112441514571
1,roadway_exterior,0,312,191.27780708368851,54.87645549990784
1,roadway_exterior,0,313,191.297990721472,54.86365545898103
1,roadway_exterior,0,314,191.319304420957,54.852841278653074
1,roadway_exterior,0,315,191.34155338506469,54.844111795390134
1,roadway_exterior,0,316,191.35227239019903,54.84048716070597
1,roadway_exterior,0,317,191.3576651222621,54.838370954802706
1,roadway_exterior,0,318,191.35794235310027,54.832584502557154
1,roadway_exterior,0,319,191.35794235310027,47.90333972995493
1,roadway_exterior,0,320,191.35914617143223,47.878835444872536
1,roadway_exterior,0,321,191.36274603299947,47.854567149450894
1,roadway_exterior,0,322,191.36870726916723,47.83076856064131
1,roadway_exterior,0,323,191.37697246997246,47.807668871863655
1,roadway_exterior,0,324,191.3874620370132,47.78549054574843
1,roadway_exterior,0,325,191.40007495002465,47.76444717170003
1,roadway_exterior,0,326,191.41468973975958,47.74474140891402
1,roadway_exterior,0,327,191.43116565780363,47.72656303465829
1,roadway_exterior,0,328,191.44934403205937,47.71008711661425
1,roadway_exterior,0,329,191.46904979484538,47.69547232687929
1,roadway_exterior,0,330,191.49009316889376,47.68285941386784
1,roadway_exterior,0,331,191.512271495009,47.67236984682711
1,roadway_exterior,0,332,191.53537118378665,47.664104646021876
1,roadway_exterior,0,333,191.55916977259625,47.65814340985412
1,roadway_exterior,0,334,191.58343806801787,47.65454354828688
1,roadway_exterior,0,335,191.60794235310027,47.65333972995493
1,roadway_exterior,0,336,196.37774337221677,47.65333972995493
1,roadway_exterior,0,337,196.38359314674932,47.65305234896029
1,roadway_exterior,0,338,196.38388052774394,47.647202574427794
1,roadway_exterior,0,339,196.38388052774394,30.068693274229176
1,roadway_exterior,0,340,196.38359314674932,30.062843499696687
1,roadway_exterior,0,341,196.37774337221668,30.062556118702037
1,roadway_exterior,0,342,191.60794235310027,30.062556118702037
1,roadway_exterior,0,343,191.58343806801787,30.061352300370086
1,roadway_exterior,0,344,191.55916977259625,30.057752438802844
1,roadway_exterior,0,345,191.53537118378665,30.05179120263509
1,roadway_exterior,0,346,191.512271495009,30.04352600182986
1,roadway_exterior,0,347,191.49009316889376,30.033036434789125
1,roadway_exterior,0,348,191.46904979484538,30.020423521777673
1,roadway_exterior,0,349,191.44934403205937,30.005808732042723
1,roadway_exterior,0,350,191.43116565780363,29.989332813998676
1,roadway_exterior,0,351,191.41468973975958,29.97115443974295
1,roadway_exterior,0,352,191.40007495002465,29.95144867695694
1,roadway_exterior,0,353,191.3874620370132,29.930405302908536
1,roadway_exterior,0,354,191.37697246997246,29.90822697679331
1,roadway_exterior,0,355,191.36870726916723,29.885127288015653
1,roadway_exterior,0,356,191.36274603299947,29.86132869920607
1,roadway_exterior,0,357,191.35914617143223,29.837060403784427
1,roadway_exterior,0,358,191.35794235310027,29.812556118702037
1,roadway_exterior,0,359,191.35794235310027,24.262815723297603
1,roadway_exterior,0,360,191.35914617143223,24.238311438215213
1,roadway_exterior,0,361,191.36274603299947,24.21404314279357
